frame,spot_id,spot,elapsed_min,step1,step2,arrive_min,crowd_lo,crowd_hi,path_Q,JR
157,15,Moon-Hoe Studio,29.38,Golden Chestnut Studio,Stone Qin Room,6,18.49,26.31,0.6608,0.092697
157,15,Moon-Hoe Studio,29.38,Golden Chestnut Studio,Little Canglang Lodge,6,18.49,26.31,0.5381,0.116915
157,15,Moon-Hoe Studio,29.38,Winter Herb Hut,Lotus Depths,12,7.8,12.93,0.6103,0.130473
157,15,Moon-Hoe Studio,29.38,Phoenix Paulownia,Stone Qin Room,6,16.05,23.25,0.6737,0.147592
158,15,Moon-Hoe Studio,29.62,Golden Chestnut Studio,Stone Qin Room,6,18.49,26.31,0.6608,0.092697
158,15,Moon-Hoe Studio,29.62,Golden Chestnut Studio,Little Canglang Lodge,6,18.49,26.31,0.5381,0.116915
158,15,Moon-Hoe Studio,29.62,Winter Herb Hut,Lotus Depths,12,7.8,12.93,0.6103,0.130473
158,15,Moon-Hoe Studio,29.62,Phoenix Paulownia,Stone Qin Room,6,16.05,23.25,0.6737,0.147592
159,15,Moon-Hoe Studio,29.85,Golden Chestnut Studio,Stone Qin Room,6,18.49,26.31,0.6608,0.092697
159,15,Moon-Hoe Studio,29.85,Golden Chestnut Studio,Little Canglang Lodge,6,18.49,26.31,0.5381,0.116915
159,15,Moon-Hoe Studio,29.85,Winter Herb Hut,Lotus Depths,12,7.8,12.93,0.6103,0.130473
159,15,Moon-Hoe Studio,29.85,Phoenix Paulownia,Stone Qin Room,6,16.05,23.25,0.6737,0.147592
160,15,Moon-Hoe Studio,30.08,Golden Chestnut Studio,Stone Qin Room,6,14.34,21.11,0.6608,0.086408
160,15,Moon-Hoe Studio,30.08,Golden Chestnut Studio,Little Canglang Lodge,6,14.34,21.11,0.5381,0.105889
160,15,Moon-Hoe Studio,30.08,Winter Herb Hut,Lotus Depths,12,10.96,16.88,0.6103,0.140967
160,15,Moon-Hoe Studio,30.08,Golden Chestnut Studio,Phoenix Paulownia,6,14.34,21.11,0.841,0.145575
161,15,Moon-Hoe Studio,30.31,Golden Chestnut Studio,Stone Qin Room,6,14.34,21.11,0.6608,0.086408
161,15,Moon-Hoe Studio,30.31,Golden Chestnut Studio,Little Canglang Lodge,6,14.34,21.11,0.5381,0.105889
161,15,Moon-Hoe Studio,30.31,Winter Herb Hut,Lotus Depths,12,10.96,16.88,0.6103,0.140967
161,15,Moon-Hoe Studio,30.31,Golden Chestnut Studio,Phoenix Paulownia,6,14.34,21.11,0.841,0.145575
162,15,Moon-Hoe Studio,30.54,Golden Chestnut Studio,Stone Qin Room,6,14.34,21.11,0.6608,0.086408
162,15,Moon-Hoe Studio,30.54,Golden Chestnut Studio,Little Canglang Lodge,6,14.34,21.11,0.5381,0.105889
162,15,Moon-Hoe Studio,30.54,Winter Herb Hut,Lotus Depths,12,10.96,16.88,0.6103,0.140967
162,15,Moon-Hoe Studio,30.54,Golden Chestnut Studio,Phoenix Paulownia,6,14.34,21.11,0.841,0.145575
163,15,Moon-Hoe Studio,30.77,Golden Chestnut Studio,Stone Qin Room,6,14.34,21.11,0.6608,0.086408
163,15,Moon-Hoe Studio,30.77,Golden Chestnut Studio,Little Canglang Lodge,6,14.34,21.11,0.5381,0.105889
163,15,Moon-Hoe Studio,30.77,Winter Herb Hut,Lotus Depths,12,10.96,16.88,0.6103,0.140967
163,15,Moon-Hoe Studio,30.77,Golden Chestnut Studio,Phoenix Paulownia,6,14.34,21.11,0.841,0.145575
164,15,Moon-Hoe Studio,31.0,Golden Chestnut Studio,Stone Qin Room,6,14.34,21.11,0.6608,0.086408
164,15,Moon-Hoe Studio,31.0,Golden Chestnut Studio,Little Canglang Lodge,6,14.34,21.11,0.5381,0.105889
164,15,Moon-Hoe Studio,31.0,Winter Herb Hut,Lotus Depths,12,10.96,16.88,0.6103,0.140967
164,15,Moon-Hoe Studio,31.0,Golden Chestnut Studio,Phoenix Paulownia,6,14.34,21.11,0.841,0.145575
165,15,Moon-Hoe Studio,31.23,Golden Chestnut Studio,Stone Qin Room,6,18.08,25.8,0.6608,0.125619
165,15,Moon-Hoe Studio,31.23,Winter Herb Hut,Lotus Depths,12,12.36,18.63,0.6103,0.139764
165,15,Moon-Hoe Studio,31.23,Golden Chestnut Studio,Little Canglang Lodge,6,18.08,25.8,0.5381,0.149445
165,15,Moon-Hoe Studio,31.23,Golden Chestnut Studio,Phoenix Paulownia,6,18.08,25.8,0.841,0.171761
166,15,Moon-Hoe Studio,31.46,Golden Chestnut Studio,Stone Qin Room,6,18.08,25.8,0.6608,0.125619
166,15,Moon-Hoe Studio,31.46,Winter Herb Hut,Lotus Depths,12,12.36,18.63,0.6103,0.139764
166,15,Moon-Hoe Studio,31.46,Golden Chestnut Studio,Little Canglang Lodge,6,18.08,25.8,0.5381,0.149445
166,15,Moon-Hoe Studio,31.46,Golden Chestnut Studio,Phoenix Paulownia,6,18.08,25.8,0.841,0.171761
167,15,Moon-Hoe Studio,31.69,Golden Chestnut Studio,Stone Qin Room,6,18.08,25.8,0.6608,0.125619
167,15,Moon-Hoe Studio,31.69,Winter Herb Hut,Lotus Depths,12,12.36,18.63,0.6103,0.139764
167,15,Moon-Hoe Studio,31.69,Golden Chestnut Studio,Little Canglang Lodge,6,18.08,25.8,0.5381,0.149445
167,15,Moon-Hoe Studio,31.69,Golden Chestnut Studio,Phoenix Paulownia,6,18.08,25.8,0.841,0.171761
168,15,Moon-Hoe Studio,31.92,Golden Chestnut Studio,Stone Qin Room,6,18.08,25.8,0.6608,0.125619
168,15,Moon-Hoe Studio,31.92,Winter Herb Hut,Lotus Depths,12,12.36,18.63,0.6103,0.139764
168,15,Moon-Hoe Studio,31.92,Golden Chestnut Studio,Little Canglang Lodge,6,18.08,25.8,0.5381,0.149445
168,15,Moon-Hoe Studio,31.92,Golden Chestnut Studio,Phoenix Paulownia,6,18.08,25.8,0.841,0.171761
169,15,Moon-Hoe Studio,32.15,Winter Herb Hut,Lotus Depths,12,12.92,19.33,0.6103,0.119311
169,15,Moon-Hoe Studio,32.15,Golden Chestnut Studio,Little Canglang Lodge,6,15.58,22.66,0.5381,0.183148
169,15,Moon-Hoe Studio,32.15,Phoenix Paulownia,Stone Qin Room,6,13.8,20.44,0.6737,0.192912
169,15,Moon-Hoe Studio,32.15,Phoenix Paulownia,Golden Chestnut Studio,6,13.8,20.44,0.8427,0.193123
170,15,Moon-Hoe Studio,32.38,Winter Herb Hut,Lotus Depths,12,12.92,19.33,0.6103,0.119311
170,15,Moon-Hoe Studio,32.38,Golden Chestnut Studio,Little Canglang Lodge,6,15.58,22.66,0.5381,0.183148
170,15,Moon-Hoe Studio,32.38,Phoenix Paulownia,Stone Qin Room,6,13.8,20.44,0.6737,0.192912
170,15,Moon-Hoe Studio,32.38,Phoenix Paulownia,Golden Chestnut Studio,6,13.8,20.44,0.8427,0.193123
171,15,Moon-Hoe Studio,32.62,Winter Herb Hut,Lotus Depths,12,12.92,19.33,0.6103,0.119311
171,15,Moon-Hoe Studio,32.62,Golden Chestnut Studio,Little Canglang Lodge,6,15.58,22.66,0.5381,0.183148
171,15,Moon-Hoe Studio,32.62,Phoenix Paulownia,Stone Qin Room,6,13.8,20.44,0.6737,0.192912
171,15,Moon-Hoe Studio,32.62,Phoenix Paulownia,Golden Chestnut Studio,6,13.8,20.44,0.8427,0.193123
172,15,Moon-Hoe Studio,32.85,Winter Herb Hut,Lotus Depths,12,12.92,19.33,0.6103,0.119311
172,15,Moon-Hoe Studio,32.85,Golden Chestnut Studio,Little Canglang Lodge,6,15.58,22.66,0.5381,0.183148
172,15,Moon-Hoe Studio,32.85,Phoenix Paulownia,Stone Qin Room,6,13.8,20.44,0.6737,0.192912
172,15,Moon-Hoe Studio,32.85,Phoenix Paulownia,Golden Chestnut Studio,6,13.8,20.44,0.8427,0.193123
173,15,Moon-Hoe Studio,33.08,Winter Herb Hut,Lotus Depths,12,14.84,21.74,0.6103,0.123263
173,15,Moon-Hoe Studio,33.08,Phoenix Paulownia,Golden Chestnut Studio,6,16.97,24.4,0.8427,0.129536
173,15,Moon-Hoe Studio,33.08,Phoenix Paulownia,Stone Qin Room,6,16.97,24.4,0.6737,0.133098
173,15,Moon-Hoe Studio,33.08,Phoenix Paulownia,Wall-Facing Pavilion,6,16.97,24.4,0.658,0.144902
174,15,Moon-Hoe Studio,33.31,Winter Herb Hut,Lotus Depths,12,14.84,21.74,0.6103,0.123263
174,15,Moon-Hoe Studio,33.31,Phoenix Paulownia,Golden Chestnut Studio,6,16.97,24.4,0.8427,0.129536
174,15,Moon-Hoe Studio,33.31,Phoenix Paulownia,Stone Qin Room,6,16.97,24.4,0.6737,0.133098
174,15,Moon-Hoe Studio,33.31,Phoenix Paulownia,Wall-Facing Pavilion,6,16.97,24.4,0.658,0.144902
175,15,Moon-Hoe Studio,33.54,Winter Herb Hut,Lotus Depths,12,14.84,21.74,0.6103,0.123263
175,15,Moon-Hoe Studio,33.54,Phoenix Paulownia,Golden Chestnut Studio,6,16.97,24.4,0.8427,0.129536
175,15,Moon-Hoe Studio,33.54,Phoenix Paulownia,Stone Qin Room,6,16.97,24.4,0.6737,0.133098
175,15,Moon-Hoe Studio,33.54,Phoenix Paulownia,Wall-Facing Pavilion,6,16.97,24.4,0.658,0.144902
176,15,Moon-Hoe Studio,33.77,Winter Herb Hut,Lotus Depths,12,14.84,21.74,0.6103,0.123263
176,15,Moon-Hoe Studio,33.77,Phoenix Paulownia,Golden Chestnut Studio,6,16.97,24.4,0.8427,0.129536
176,15,Moon-Hoe Studio,33.77,Phoenix Paulownia,Stone Qin Room,6,16.97,24.4,0.6737,0.133098
176,15,Moon-Hoe Studio,33.77,Phoenix Paulownia,Wall-Facing Pavilion,6,16.97,24.4,0.658,0.144902
246,19,Winter Herb Hut,46.0,Golden Chestnut Studio,Stone Qin Room,7,12.17,18.39,0.8034,0.130826
246,19,Winter Herb Hut,46.0,Golden Chestnut Studio,Phoenix Paulownia,7,12.17,18.39,0.9326,0.13349
246,19,Winter Herb Hut,46.0,Garden Tea Lodge,Paulownia Terrace,17,5.85,10.48,1.3645,0.149883
246,19,Winter Herb Hut,46.0,Golden Chestnut Studio,Little Canglang Lodge,7,12.17,18.39,0.7083,0.161199
247,19,Winter Herb Hut,46.23,Garden Tea Lodge,Paulownia Terrace,17,5.85,10.48,1.3645,0.149883
247,19,Winter Herb Hut,46.23,Lotus Depths,Paulownia Terrace,4,11.48,17.53,0.8583,0.15236
247,19,Winter Herb Hut,46.23,Golden Chestnut Studio,Stone Qin Room,7,11.27,17.26,0.8034,0.166845
247,19,Winter Herb Hut,46.23,Golden Chestnut Studio,Phoenix Paulownia,7,11.27,17.26,0.9326,0.172599
248,19,Winter Herb Hut,46.46,Garden Tea Lodge,Paulownia Terrace,17,5.85,10.48,1.3645,0.149883
248,19,Winter Herb Hut,46.46,Lotus Depths,Paulownia Terrace,4,11.48,17.53,0.8583,0.15236
248,19,Winter Herb Hut,46.46,Golden Chestnut Studio,Stone Qin Room,7,11.27,17.26,0.8034,0.166845
248,19,Winter Herb Hut,46.46,Golden Chestnut Studio,Phoenix Paulownia,7,11.27,17.26,0.9326,0.172599
249,19,Winter Herb Hut,46.69,Garden Tea Lodge,Paulownia Terrace,17,5.85,10.48,1.3645,0.149883
249,19,Winter Herb Hut,46.69,Lotus Depths,Paulownia Terrace,4,11.48,17.53,0.8583,0.15236
249,19,Winter Herb Hut,46.69,Golden Chestnut Studio,Stone Qin Room,7,11.27,17.26,0.8034,0.166845
249,19,Winter Herb Hut,46.69,Golden Chestnut Studio,Phoenix Paulownia,7,11.27,17.26,0.9326,0.172599
250,19,Winter Herb Hut,46.91,Garden Tea Lodge,Paulownia Terrace,17,5.85,10.48,1.3645,0.149883
250,19,Winter Herb Hut,46.91,Lotus Depths,Paulownia Terrace,4,11.48,17.53,0.8583,0.15236
250,19,Winter Herb Hut,46.91,Golden Chestnut Studio,Stone Qin Room,7,11.27,17.26,0.8034,0.166845
250,19,Winter Herb Hut,46.91,Golden Chestnut Studio,Phoenix Paulownia,7,11.27,17.26,0.9326,0.172599
251,19,Winter Herb Hut,47.14,Golden Chestnut Studio,Stone Qin Room,7,10.66,16.5,0.8034,0.116893
251,19,Winter Herb Hut,47.14,Garden Tea Lodge,Paulownia Terrace,17,5.9,10.54,1.3645,0.149883
251,19,Winter Herb Hut,47.14,Golden Chestnut Studio,Phoenix Paulownia,7,10.66,16.5,0.9326,0.150491
251,19,Winter Herb Hut,47.14,Golden Chestnut Studio,Little Canglang Lodge,7,10.66,16.5,0.7083,0.158529
252,19,Winter Herb Hut,47.37,Golden Chestnut Studio,Stone Qin Room,7,10.66,16.5,0.8034,0.116893
252,19,Winter Herb Hut,47.37,Garden Tea Lodge,Paulownia Terrace,17,5.9,10.54,1.3645,0.149883
252,19,Winter Herb Hut,47.37,Golden Chestnut Studio,Phoenix Paulownia,7,10.66,16.5,0.9326,0.150491
252,19,Winter Herb Hut,47.37,Golden Chestnut Studio,Little Canglang Lodge,7,10.66,16.5,0.7083,0.158529
253,19,Winter Herb Hut,47.6,Golden Chestnut Studio,Stone Qin Room,7,10.66,16.5,0.8034,0.116893
253,19,Winter Herb Hut,47.6,Garden Tea Lodge,Paulownia Terrace,17,5.9,10.54,1.3645,0.149883
253,19,Winter Herb Hut,47.6,Golden Chestnut Studio,Phoenix Paulownia,7,10.66,16.5,0.9326,0.150491
253,19,Winter Herb Hut,47.6,Golden Chestnut Studio,Little Canglang Lodge,7,10.66,16.5,0.7083,0.158529
254,19,Winter Herb Hut,47.83,Golden Chestnut Studio,Stone Qin Room,7,10.66,16.5,0.8034,0.116893
254,19,Winter Herb Hut,47.83,Garden Tea Lodge,Paulownia Terrace,17,5.9,10.54,1.3645,0.149883
254,19,Winter Herb Hut,47.83,Golden Chestnut Studio,Phoenix Paulownia,7,10.66,16.5,0.9326,0.150491
254,19,Winter Herb Hut,47.83,Golden Chestnut Studio,Little Canglang Lodge,7,10.66,16.5,0.7083,0.158529
255,19,Winter Herb Hut,48.06,Golden Chestnut Studio,Stone Qin Room,7,11.97,18.15,0.8034,0.121323
255,19,Winter Herb Hut,48.06,Golden Chestnut Studio,Little Canglang Lodge,7,11.97,18.15,0.7083,0.138666
255,19,Winter Herb Hut,48.06,Garden Tea Lodge,Paulownia Terrace,17,5.74,10.34,1.3645,0.149883
255,19,Winter Herb Hut,48.06,Golden Chestnut Studio,Phoenix Paulownia,7,11.97,18.15,0.9326,0.150449
256,19,Winter Herb Hut,48.29,Golden Chestnut Studio,Stone Qin Room,7,11.97,18.15,0.8034,0.121323
256,19,Winter Herb Hut,48.29,Golden Chestnut Studio,Little Canglang Lodge,7,11.97,18.15,0.7083,0.138666
256,19,Winter Herb Hut,48.29,Garden Tea Lodge,Paulownia Terrace,17,5.74,10.34,1.3645,0.149883
256,19,Winter Herb Hut,48.29,Golden Chestnut Studio,Phoenix Paulownia,7,11.97,18.15,0.9326,0.150449
257,19,Winter Herb Hut,48.51,Golden Chestnut Studio,Stone Qin Room,7,11.97,18.15,0.8034,0.121323
257,19,Winter Herb Hut,48.51,Golden Chestnut Studio,Little Canglang Lodge,7,11.97,18.15,0.7083,0.138666
257,19,Winter Herb Hut,48.51,Garden Tea Lodge,Paulownia Terrace,17,5.74,10.34,1.3645,0.149883
257,19,Winter Herb Hut,48.51,Golden Chestnut Studio,Phoenix Paulownia,7,11.97,18.15,0.9326,0.150449
258,19,Winter Herb Hut,48.74,Golden Chestnut Studio,Stone Qin Room,7,11.97,18.15,0.8034,0.121323
258,19,Winter Herb Hut,48.74,Golden Chestnut Studio,Little Canglang Lodge,7,11.97,18.15,0.7083,0.138666
258,19,Winter Herb Hut,48.74,Garden Tea Lodge,Paulownia Terrace,17,5.74,10.34,1.3645,0.149883
258,19,Winter Herb Hut,48.74,Golden Chestnut Studio,Phoenix Paulownia,7,11.97,18.15,0.9326,0.150449
259,19,Winter Herb Hut,48.97,Golden Chestnut Studio,Stone Qin Room,7,11.97,18.15,0.8034,0.121323
259,19,Winter Herb Hut,48.97,Golden Chestnut Studio,Little Canglang Lodge,7,11.97,18.15,0.7083,0.138666
259,19,Winter Herb Hut,48.97,Garden Tea Lodge,Paulownia Terrace,17,5.74,10.34,1.3645,0.149883
259,19,Winter Herb Hut,48.97,Golden Chestnut Studio,Phoenix Paulownia,7,11.97,18.15,0.9326,0.150449
260,19,Winter Herb Hut,49.2,Golden Chestnut Studio,Stone Qin Room,7,12.14,18.35,0.8034,0.109152
260,19,Winter Herb Hut,49.2,Golden Chestnut Studio,Phoenix Paulownia,7,12.14,18.35,0.9326,0.145057
260,19,Winter Herb Hut,49.2,Golden Chestnut Studio,Little Canglang Lodge,7,12.14,18.35,0.7083,0.146254
260,19,Winter Herb Hut,49.2,Garden Tea Lodge,Paulownia Terrace,17,5.7,10.29,1.3645,0.149883
261,19,Winter Herb Hut,49.43,Golden Chestnut Studio,Stone Qin Room,7,12.14,18.35,0.8034,0.109152
261,19,Winter Herb Hut,49.43,Golden Chestnut Studio,Phoenix Paulownia,7,12.14,18.35,0.9326,0.145057
261,19,Winter Herb Hut,49.43,Golden Chestnut Studio,Little Canglang Lodge,7,12.14,18.35,0.7083,0.146254
261,19,Winter Herb Hut,49.43,Garden Tea Lodge,Paulownia Terrace,17,5.7,10.29,1.3645,0.149883
262,19,Winter Herb Hut,49.66,Golden Chestnut Studio,Stone Qin Room,7,12.14,18.35,0.8034,0.109152
262,19,Winter Herb Hut,49.66,Golden Chestnut Studio,Phoenix Paulownia,7,12.14,18.35,0.9326,0.145057
262,19,Winter Herb Hut,49.66,Golden Chestnut Studio,Little Canglang Lodge,7,12.14,18.35,0.7083,0.146254
262,19,Winter Herb Hut,49.66,Garden Tea Lodge,Paulownia Terrace,17,5.7,10.29,1.3645,0.149883
263,19,Winter Herb Hut,49.89,Golden Chestnut Studio,Stone Qin Room,7,12.14,18.35,0.8034,0.109152
263,19,Winter Herb Hut,49.89,Golden Chestnut Studio,Phoenix Paulownia,7,12.14,18.35,0.9326,0.145057
263,19,Winter Herb Hut,49.89,Golden Chestnut Studio,Little Canglang Lodge,7,12.14,18.35,0.7083,0.146254
263,19,Winter Herb Hut,49.89,Garden Tea Lodge,Paulownia Terrace,17,5.7,10.29,1.3645,0.149883
264,19,Winter Herb Hut,50.11,Golden Chestnut Studio,Stone Qin Room,7,12.31,18.57,0.8034,0.120305
264,19,Winter Herb Hut,50.11,Golden Chestnut Studio,Phoenix Paulownia,7,12.31,18.57,0.9326,0.144195
264,19,Winter Herb Hut,50.11,Golden Chestnut Studio,Little Canglang Lodge,7,12.31,18.57,0.7083,0.148084
264,19,Winter Herb Hut,50.11,Lotus Depths,Paulownia Terrace,4,11.51,17.57,0.8583,0.170347
265,19,Winter Herb Hut,50.34,Golden Chestnut Studio,Stone Qin Room,7,12.31,18.57,0.8034,0.120305
265,19,Winter Herb Hut,50.34,Golden Chestnut Studio,Phoenix Paulownia,7,12.31,18.57,0.9326,0.144195
265,19,Winter Herb Hut,50.34,Golden Chestnut Studio,Little Canglang Lodge,7,12.31,18.57,0.7083,0.148084
265,19,Winter Herb Hut,50.34,Lotus Depths,Paulownia Terrace,4,11.51,17.57,0.8583,0.170347
266,19,Winter Herb Hut,50.57,Golden Chestnut Studio,Stone Qin Room,7,12.31,18.57,0.8034,0.120305
266,19,Winter Herb Hut,50.57,Golden Chestnut Studio,Phoenix Paulownia,7,12.31,18.57,0.9326,0.144195
266,19,Winter Herb Hut,50.57,Golden Chestnut Studio,Little Canglang Lodge,7,12.31,18.57,0.7083,0.148084
266,19,Winter Herb Hut,50.57,Lotus Depths,Paulownia Terrace,4,11.51,17.57,0.8583,0.170347
267,19,Winter Herb Hut,50.8,Golden Chestnut Studio,Stone Qin Room,7,12.31,18.57,0.8034,0.120305
267,19,Winter Herb Hut,50.8,Golden Chestnut Studio,Phoenix Paulownia,7,12.31,18.57,0.9326,0.144195
267,19,Winter Herb Hut,50.8,Golden Chestnut Studio,Little Canglang Lodge,7,12.31,18.57,0.7083,0.148084
267,19,Winter Herb Hut,50.8,Lotus Depths,Paulownia Terrace,4,11.51,17.57,0.8583,0.170347
268,19,Winter Herb Hut,51.03,Golden Chestnut Studio,Stone Qin Room,7,12.68,19.03,0.8034,0.123828
268,19,Winter Herb Hut,51.03,Golden Chestnut Studio,Little Canglang Lodge,7,12.68,19.03,0.7083,0.148972
268,19,Winter Herb Hut,51.03,Golden Chestnut Studio,Phoenix Paulownia,7,12.68,19.03,0.9326,0.155031
268,19,Winter Herb Hut,51.03,Lotus Depths,Paulownia Terrace,4,12.03,18.22,0.8583,0.166845
269,19,Winter Herb Hut,51.26,Golden Chestnut Studio,Stone Qin Room,7,12.68,19.03,0.8034,0.123828
269,19,Winter Herb Hut,51.26,Golden Chestnut Studio,Little Canglang Lodge,7,12.68,19.03,0.7083,0.148972
269,19,Winter Herb Hut,51.26,Golden Chestnut Studio,Phoenix Paulownia,7,12.68,19.03,0.9326,0.155031
269,19,Winter Herb Hut,51.26,Lotus Depths,Paulownia Terrace,4,12.03,18.22,0.8583,0.166845
270,19,Winter Herb Hut,51.49,Golden Chestnut Studio,Stone Qin Room,7,12.68,19.03,0.8034,0.123828
270,19,Winter Herb Hut,51.49,Golden Chestnut Studio,Little Canglang Lodge,7,12.68,19.03,0.7083,0.148972
270,19,Winter Herb Hut,51.49,Golden Chestnut Studio,Phoenix Paulownia,7,12.68,19.03,0.9326,0.155031
270,19,Winter Herb Hut,51.49,Lotus Depths,Paulownia Terrace,4,12.03,18.22,0.8583,0.166845
271,19,Winter Herb Hut,51.71,Golden Chestnut Studio,Stone Qin Room,7,12.68,19.03,0.8034,0.123828
271,19,Winter Herb Hut,51.71,Golden Chestnut Studio,Little Canglang Lodge,7,12.68,19.03,0.7083,0.148972
271,19,Winter Herb Hut,51.71,Golden Chestnut Studio,Phoenix Paulownia,7,12.68,19.03,0.9326,0.155031
271,19,Winter Herb Hut,51.71,Lotus Depths,Paulownia Terrace,4,12.03,18.22,0.8583,0.166845
272,19,Winter Herb Hut,51.94,Golden Chestnut Studio,Stone Qin Room,7,12.68,19.03,0.8034,0.123828
272,19,Winter Herb Hut,51.94,Golden Chestnut Studio,Little Canglang Lodge,7,12.68,19.03,0.7083,0.148972
272,19,Winter Herb Hut,51.94,Golden Chestnut Studio,Phoenix Paulownia,7,12.68,19.03,0.9326,0.155031
272,19,Winter Herb Hut,51.94,Lotus Depths,Paulownia Terrace,4,12.03,18.22,0.8583,0.166845
273,19,Winter Herb Hut,52.17,Golden Chestnut Studio,Stone Qin Room,7,14.5,21.31,0.8034,0.16349
273,19,Winter Herb Hut,52.17,Lotus Depths,Paulownia Terrace,4,12.06,18.26,0.8583,0.165565
273,19,Winter Herb Hut,52.17,Golden Chestnut Studio,Phoenix Paulownia,7,14.5,21.31,0.9326,0.173835
273,19,Winter Herb Hut,52.17,Garden Tea Lodge,Paulownia Terrace,17,7.29,12.28,1.3645,0.175655
274,19,Winter Herb Hut,52.4,Golden Chestnut Studio,Stone Qin Room,7,14.5,21.31,0.8034,0.16349
274,19,Winter Herb Hut,52.4,Lotus Depths,Paulownia Terrace,4,12.06,18.26,0.8583,0.165565
274,19,Winter Herb Hut,52.4,Golden Chestnut Studio,Phoenix Paulownia,7,14.5,21.31,0.9326,0.173835
274,19,Winter Herb Hut,52.4,Garden Tea Lodge,Paulownia Terrace,17,7.29,12.28,1.3645,0.175655
275,19,Winter Herb Hut,52.63,Golden Chestnut Studio,Stone Qin Room,7,14.5,21.31,0.8034,0.16349
275,19,Winter Herb Hut,52.63,Lotus Depths,Paulownia Terrace,4,12.06,18.26,0.8583,0.165565
275,19,Winter Herb Hut,52.63,Golden Chestnut Studio,Phoenix Paulownia,7,14.5,21.31,0.9326,0.173835
275,19,Winter Herb Hut,52.63,Garden Tea Lodge,Paulownia Terrace,17,7.29,12.28,1.3645,0.175655
276,19,Winter Herb Hut,52.86,Golden Chestnut Studio,Stone Qin Room,7,14.5,21.31,0.8034,0.16349
276,19,Winter Herb Hut,52.86,Lotus Depths,Paulownia Terrace,4,12.06,18.26,0.8583,0.165565
276,19,Winter Herb Hut,52.86,Golden Chestnut Studio,Phoenix Paulownia,7,14.5,21.31,0.9326,0.173835
276,19,Winter Herb Hut,52.86,Garden Tea Lodge,Paulownia Terrace,17,7.29,12.28,1.3645,0.175655
277,19,Winter Herb Hut,53.09,Lotus Depths,Paulownia Terrace,4,11.69,17.79,0.8583,0.173685
277,19,Winter Herb Hut,53.09,Garden Tea Lodge,Paulownia Terrace,17,8.26,13.5,1.3645,0.182708
277,19,Winter Herb Hut,53.09,Golden Chestnut Studio,Little Canglang Lodge,7,15.21,22.2,0.7083,0.185351
277,19,Winter Herb Hut,53.09,Golden Chestnut Studio,Stone Qin Room,7,15.21,22.2,0.8034,0.186289
278,19,Winter Herb Hut,53.31,Lotus Depths,Paulownia Terrace,4,11.69,17.79,0.8583,0.173685
278,19,Winter Herb Hut,53.31,Garden Tea Lodge,Paulownia Terrace,17,8.26,13.5,1.3645,0.182708
278,19,Winter Herb Hut,53.31,Golden Chestnut Studio,Little Canglang Lodge,7,15.21,22.2,0.7083,0.185351
278,19,Winter Herb Hut,53.31,Golden Chestnut Studio,Stone Qin Room,7,15.21,22.2,0.8034,0.186289
279,19,Winter Herb Hut,53.54,Lotus Depths,Paulownia Terrace,4,11.69,17.79,0.8583,0.173685
279,19,Winter Herb Hut,53.54,Garden Tea Lodge,Paulownia Terrace,17,8.26,13.5,1.3645,0.182708
279,19,Winter Herb Hut,53.54,Golden Chestnut Studio,Little Canglang Lodge,7,15.21,22.2,0.7083,0.185351
279,19,Winter Herb Hut,53.54,Golden Chestnut Studio,Stone Qin Room,7,15.21,22.2,0.8034,0.186289
280,19,Winter Herb Hut,53.77,Lotus Depths,Paulownia Terrace,4,11.69,17.79,0.8583,0.173685
280,19,Winter Herb Hut,53.77,Garden Tea Lodge,Paulownia Terrace,17,8.26,13.5,1.3645,0.182708
280,19,Winter Herb Hut,53.77,Golden Chestnut Studio,Little Canglang Lodge,7,15.21,22.2,0.7083,0.185351
280,19,Winter Herb Hut,53.77,Golden Chestnut Studio,Stone Qin Room,7,15.21,22.2,0.8034,0.186289
379,22,Garden Tea Lodge,71.0,Paulownia Terrace,Spiral Bun Pavilion,7,4.38,8.63,0.9124,0.061363
379,22,Garden Tea Lodge,71.0,Paulownia Terrace,Lotus Depths,7,4.38,8.63,0.96,0.103477
379,22,Garden Tea Lodge,71.0,Lotus Depths,Paulownia Terrace,11,11.79,17.92,1.0861,0.171941
379,22,Garden Tea Lodge,71.0,Lotus Depths,Spiral Bun Pavilion,11,11.79,17.92,1.0945,0.193961
380,22,Garden Tea Lodge,71.0,Paulownia Terrace,Spiral Bun Pavilion,7,4.38,8.63,0.9124,0.061363
380,22,Garden Tea Lodge,71.0,Paulownia Terrace,Lotus Depths,7,4.38,8.63,0.96,0.103477
380,22,Garden Tea Lodge,71.0,Lotus Depths,Paulownia Terrace,11,11.79,17.92,1.0861,0.171941
380,22,Garden Tea Lodge,71.0,Lotus Depths,Spiral Bun Pavilion,11,11.79,17.92,1.0945,0.193961
381,22,Garden Tea Lodge,71.0,Paulownia Terrace,Spiral Bun Pavilion,7,4.38,8.63,0.9124,0.061363
381,22,Garden Tea Lodge,71.0,Paulownia Terrace,Lotus Depths,7,4.38,8.63,0.96,0.103477
381,22,Garden Tea Lodge,71.0,Lotus Depths,Paulownia Terrace,11,11.79,17.92,1.0861,0.171941
381,22,Garden Tea Lodge,71.0,Lotus Depths,Spiral Bun Pavilion,11,11.79,17.92,1.0945,0.193961
